# Real function names for this PAL build, from bordplate's NTSC project RC1
# (codeberg.org/bordplate/RC1, config/symbols.txt), mapped to PAL addresses.
# Only confident mappings are listed; see docs/DECOMP_PROGRESS.md.
#
# The build and tools keep using func_<ADDR> (the address IS the name there);
# these names are annotated in src/ as comments.
#
# <pal symbol>  <mangled name>  <demangled>  | <evidence>

func_0011DFC8  __main  __main  | libgcc2 L__main, matched byte for byte
func_001FB470  PutDispBuffer__Fv  PutDispBuffer(void)  | text: NTSC/PAL function-size alignment
func_001FB498  PutDrawBufferLarge__Fv  PutDrawBufferLarge(void)  | text: NTSC/PAL function-size alignment
func_001FB598  PutDrawBufferSmall__Fv  PutDrawBufferSmall(void)  | text: NTSC/PAL function-size alignment
func_001FB848  AA_BlurPass__Fv  AA_BlurPass(void)  | text: NTSC/PAL function-size alignment
func_001FE4D0  Help_FindIndex  Help_FindIndex  | text: NTSC/PAL function-size alignment
func_001FE540  msg_string__Fi  msg_string(int)  | text: NTSC/PAL function-size alignment
func_001FE6C0  Help_Update  Help_Update  | text: NTSC/PAL function-size alignment
func_001FF0C8  Help_DrawPrompt  Help_DrawPrompt  | text: NTSC/PAL function-size alignment
func_001FF668  Hud_GetIconIndex__Fi  Hud_GetIconIndex(int)  | text: NTSC/PAL function-size alignment
func_001FF7F0  LinkHudBank__FiPc  LinkHudBank(int, char *)  | text: NTSC/PAL function-size alignment
func_001FF958  Hud_SendResidentBank__FiPcb  Hud_SendResidentBank(int, char *, bool)  | text: NTSC/PAL function-size alignment
func_001FFA90  Hud_HeapReset__Fv  Hud_HeapReset(void)  | text: NTSC/PAL function-size alignment
func_001FFAB8  Hud_HeapAlloc__FUiPcT1i  Hud_HeapAlloc(unsigned int, char *, char *, int)  | text: NTSC/PAL function-size alignment
func_00200198  GetIconFrame__Fii  GetIconFrame(int, int)  | text: NTSC/PAL function-size alignment
func_00200248  GetFrameTex__Fi  GetFrameTex(int)  | text: NTSC/PAL function-size alignment
func_00201348  Hud_sendTexture__FPciiiii  Hud_sendTexture(char *, int, int, int, int, int)  | text: NTSC/PAL function-size alignment
func_00201D58  LoadIRXModule  LoadIRXModule  | text: NTSC/PAL function-size alignment
func_00201E10  InitMemSlots__Fv  InitMemSlots(void)  | text: NTSC/PAL function-size alignment
func_00201E88  InitOnce__Fv  InitOnce(void)  | text: NTSC/PAL function-size alignment
func_00202260  UpdateAllPointLights  UpdateAllPointLights  | text: NTSC/PAL function-size alignment
func_002023E0  CreatePointLight  CreatePointLight  | text: NTSC/PAL function-size alignment
func_00202790  RefreshPointLight  RefreshPointLight  | text: NTSC/PAL function-size alignment
func_002027C0  DetachPointLight__Fi  DetachPointLight(int)  | text: NTSC/PAL function-size alignment
func_00202F00  ParseParticleTexs  ParseParticleTexs  | text: NTSC/PAL function-size alignment
func_002032D0  LoadHudBanks__Fv  LoadHudBanks(void)  | text: NTSC/PAL function-size alignment
func_00203548  LoadCompressedHudBank__FiPc  LoadCompressedHudBank(int, char *)  | text: NTSC/PAL function-size alignment
func_00203808  SetUpVisGifViewer__FPiiiiii  SetUpVisGifViewer(int *, int, int, int, int, int)  | text: NTSC/PAL function-size alignment
func_00205220  ParseSpaceSceneChunk__Fi  ParseSpaceSceneChunk(int)  | text: NTSC/PAL function-size alignment
func_00205E70  UNK_NoMapAvailable  UNK_NoMapAvailable  | text: NTSC/PAL function-size alignment
func_00209CE8  memcard_RestoreGame  memcard_RestoreGame  | text: NTSC/PAL function-size alignment
func_0020BA00  memcard_MakeWholeSave  memcard_MakeWholeSave  | text: NTSC/PAL function-size alignment
func_0020BAA8  memcard_Init  memcard_Init  | text: NTSC/PAL function-size alignment
func_0020BAD8  memcard_GetDataSize  memcard_GetDataSize  | text: NTSC/PAL function-size alignment
func_0020BB10  memcard_Checksum  memcard_Checksum  | text: NTSC/PAL function-size alignment
func_0020BB88  memcard_TestChecksum  memcard_TestChecksum  | text: NTSC/PAL function-size alignment
func_0020BBC8  memcard_PrepData  memcard_PrepData  | text: NTSC/PAL function-size alignment
func_0020BCB0  memcard_RestoreInfo__FPcii  memcard_RestoreInfo(char *, int, int)  | text: NTSC/PAL function-size alignment
func_0020BD70  memcard_RestoreData__FPcT0iP7mc_data  memcard_RestoreData(char *, char *, int, mc_data *)  | text: NTSC/PAL function-size alignment
func_0020BFC8  memcard_Save__Fii  memcard_Save(int, int)  | text: NTSC/PAL function-size alignment
func_0020D348  CreateMoby__Fi  CreateMoby(int)  | text: NTSC/PAL function-size alignment
func_0020D440  InitMobyInstance__FP12MobyInstancei  InitMobyInstance(MobyInstance *, int)  | text: NTSC/PAL function-size alignment
func_0020D678  DeleteMoby  DeleteMoby  | text: NTSC/PAL function-size alignment
func_0020D960  AttachManipulator  AttachManipulator  | text: NTSC/PAL function-size alignment
func_0020D9D8  DetachManipulator  DetachManipulator  | text: NTSC/PAL function-size alignment
func_0020DC40  DmaMobyTextures  DmaMobyTextures  | text: NTSC/PAL function-size alignment
func_0020DD48  PatchMobyGifs  PatchMobyGifs  | text: NTSC/PAL function-size alignment
func_0020DFF8  ProcessMobyAnimData__Fv  ProcessMobyAnimData(void)  | text: NTSC/PAL function-size alignment
func_0020E040  InitMobyClassDists__Fv  InitMobyClassDists(void)  | text: NTSC/PAL function-size alignment
func_0020E068  StashMobyClassDists__Fv  StashMobyClassDists(void)  | text: NTSC/PAL function-size alignment
func_0020E098  RestoreMobyClassDists__Fv  RestoreMobyClassDists(void)  | text: NTSC/PAL function-size alignment
func_0020E0C8  DrawMobysSetup__Fv  DrawMobysSetup(void)  | text: NTSC/PAL function-size alignment
func_0020E180  DrawMobyList  DrawMobyList  | text: NTSC/PAL function-size alignment
func_0020E200  DrawMobysCleanUp  DrawMobysCleanUp  | text: NTSC/PAL function-size alignment
func_0020E2B0  DrawMobys  DrawMobys  | text: NTSC/PAL function-size alignment
func_002169B8  music_PreseekTrack__Fiii  music_PreseekTrack(int, int, int)  | text: NTSC/PAL function-size alignment
func_00216A90  music_StartTrack__Fiii  music_StartTrack(int, int, int)  | text: NTSC/PAL function-size alignment
func_00216B68  music_StartTrackBody__Fiii  music_StartTrackBody(int, int, int)  | text: NTSC/PAL function-size alignment
func_00216D88  music_Stop__Fv  music_Stop(void)  | text: NTSC/PAL function-size alignment
func_00216EF0  music_Pause__Fi  music_Pause(int)  | text: NTSC/PAL function-size alignment
func_00216F28  music_Unpause__Fv  music_Unpause(void)  | text: NTSC/PAL function-size alignment
func_00216F48  music_UpdateStream__FR13music_Playing  music_UpdateStream(music_Playing &)  | text: NTSC/PAL function-size alignment
func_00217130  music_Update__Fv  music_Update(void)  | text: NTSC/PAL function-size alignment
func_002176C8  Load  Load  | text: NTSC/PAL function-size alignment
func_00218188  ClearPadInput__FR3PAD  ClearPadInput(PAD &)  | text: NTSC/PAL function-size alignment
func_00218908  UpdatePad__Fv  UpdatePad(void)  | text: NTSC/PAL function-size alignment
func_00219C70  PauseAllSounds  PauseAllSounds  | text: NTSC/PAL function-size alignment
func_0021CE60  DrawMapScreen  DrawMapScreen  | text: NTSC/PAL function-size alignment
func_0021DE08  DrawSoundMenu  DrawSoundMenu  | text: NTSC/PAL function-size alignment
func_0021F898  DrawQuitGameMenu  DrawQuitGameMenu  | text: NTSC/PAL function-size alignment
func_0021FB28  DrawItemsMenu  DrawItemsMenu  | text: NTSC/PAL function-size alignment
func_0021FF80  DrawGBsShipMenu__maybe  DrawGBsShipMenu__maybe  | text: NTSC/PAL function-size alignment
func_00220370  DrawMissionsMenu  DrawMissionsMenu  | text: NTSC/PAL function-size alignment
func_00222070  DrawCheatsMenu  DrawCheatsMenu  | text: NTSC/PAL function-size alignment
func_002239F0  ObtainAllGoldWeaponsMenu  ObtainAllGoldWeaponsMenu  | text: NTSC/PAL function-size alignment
func_00223B40  DrawEndScreenMenuMaybe  DrawEndScreenMenuMaybe  | text: NTSC/PAL function-size alignment
func_00229C08  DmaShrubTextures  DmaShrubTextures  | text: NTSC/PAL function-size alignment
func_00229E50  DrawShrubs  DrawShrubs  | text: NTSC/PAL function-size alignment
func_0022C188  SkyLevelGeneric___maybe  SkyLevelGeneric___maybe  | text: NTSC/PAL function-size alignment
func_0022C7E0  SetupSkyGifPaging__Fv  SetupSkyGifPaging(void)  | text: NTSC/PAL function-size alignment
func_0022C870  DoSkyGifPaging__Fv  DoSkyGifPaging(void)  | text: NTSC/PAL function-size alignment
func_0022C9A8  SkyDrawShell__Fi  SkyDrawShell(int)  | text: NTSC/PAL function-size alignment
func_0022CA00  SkyDrawShellTextured  SkyDrawShellTextured  | text: NTSC/PAL function-size alignment
func_0022CC40  SkyDrawShellGouraud  SkyDrawShellGouraud  | text: NTSC/PAL function-size alignment
func_0022DD68  sound_update  sound_update  | text: NTSC/PAL function-size alignment
func_0022EFE8  sound_StopAllSounds__Fv  sound_StopAllSounds(void)  | text: NTSC/PAL function-size alignment
func_0022F128  FUN_0022de10_rename  FUN_0022de10_rename  | text: NTSC/PAL function-size alignment
func_00233308  DoSpaceTransition  DoSpaceTransition  | text: NTSC/PAL function-size alignment
func_00234158  Stash_SendData  Stash_SendData  | text: NTSC/PAL function-size alignment
func_00234380  SetTfragDists__Fv  SetTfragDists(void)  | text: NTSC/PAL function-size alignment
