segment,name,vram,size
core_text,func_0011D0D0,0x0011D0D0,0x13C
core_text,func_0011D210,0x0011D210,0x38
core_text,func_0011D248,0x0011D248,0x110
core_text,func_0011D358,0x0011D358,0x4
core_text,func_0011D360,0x0011D360,0x10
core_text,func_0011D370,0x0011D370,0x38
core_text,func_0011D3A8,0x0011D3A8,0x10
core_text,func_0011D3B8,0x0011D3B8,0x10
core_text,func_0011D3C8,0x0011D3C8,0xC4
core_text,func_0011D490,0x0011D490,0x10
core_text,func_0011D4A0,0x0011D4A0,0x40
core_text,func_0011D4E0,0x0011D4E0,0x1F4
core_text,func_0011D6D4,0x0011D6D4,0x28C
core_text,func_0011D960,0x0011D960,0x48
core_text,func_0011D9A8,0x0011D9A8,0x18
core_text,func_0011D9C0,0x0011D9C0,0x48
core_text,func_0011DA08,0x0011DA08,0x38
core_text,func_0011DA40,0x0011DA40,0x40
core_text,func_0011DA80,0x0011DA80,0x10
core_text,func_0011DA90,0x0011DA90,0x4
core_text,func_0011DA98,0x0011DA98,0xFC
core_text,func_0011DB98,0x0011DB98,0x10
core_text,func_0011DBA8,0x0011DBA8,0x3C
core_text,func_0011DBE4,0x0011DBE4,0x4
core_text,func_0011DBE8,0x0011DBE8,0x10
core_text,func_0011DBF8,0x0011DBF8,0x10
core_text,func_0011DC08,0x0011DC08,0x38
core_text,func_0011DC40,0x0011DC40,0x10
core_text,func_0011DC50,0x0011DC50,0x68
core_text,func_0011DCB8,0x0011DCB8,0xAC
core_text,func_0011DD64,0x0011DD64,0x34
core_text,func_0011DD98,0x0011DD98,0x8
core_text,func_0011DDA0,0x0011DDA0,0x28
core_text,func_0011DDC8,0x0011DDC8,0x8
core_text,func_0011DDD0,0x0011DDD0,0x10
core_text,func_0011DDE0,0x0011DDE0,0x10
core_text,func_0011DDF0,0x0011DDF0,0x38
core_text,func_0011DE28,0x0011DE28,0x10
core_text,func_0011DE38,0x0011DE38,0xD4
core_text,func_0011DF0C,0x0011DF0C,0xBC
core_text,func_0011DFC8,0x0011DFC8,0x20
core_text,func_0011DFE8,0x0011DFE8,0x6EC
core_text,func_0011E6D4,0x0011E6D4,0x4
core_text,func_0011E6D8,0x0011E6D8,0xEC
core_text,func_0011E7C4,0x0011E7C4,0x4
core_text,func_0011E7C8,0x0011E7C8,0x98
core_text,func_0011E860,0x0011E860,0x668
core_text,func_0011EEC8,0x0011EEC8,0x60
core_text,func_0011EF28,0x0011EF28,0x5D0
core_text,func_0011F4F8,0x0011F4F8,0x540
core_text,func_0011FA38,0x0011FA38,0x12C
core_text,func_0011FB68,0x0011FB68,0x9C
core_text,func_0011FC08,0x0011FC08,0x240
core_text,func_0011FE48,0x0011FE48,0x58
core_text,func_0011FEA0,0x0011FEA0,0x64
core_text,func_0011FF08,0x0011FF08,0x2A8
core_text,func_001201B0,0x001201B0,0x168
core_text,func_00120318,0x00120318,0x114
core_text,func_00120430,0x00120430,0x4C
core_text,func_00120480,0x00120480,0xB8
core_text,func_00120538,0x00120538,0x94
core_text,func_001205D0,0x001205D0,0xA0
core_text,func_00120670,0x00120670,0x2C
core_text,func_001206A0,0x001206A0,0x8
core_text,func_001206B0,0x001206B0,0x90
core_text,func_00120740,0x00120740,0x34
core_text,func_00120778,0x00120778,0x40
core_text,func_001207B8,0x001207B8,0xA0
core_text,func_00120858,0x00120858,0x8C
core_text,func_001208E4,0x001208E4,0x28
core_text,func_00120910,0x00120910,0x68
core_text,func_00120978,0x00120978,0x5C
core_text,func_001209D8,0x001209D8,0xA0
core_text,func_00120A78,0x00120A78,0xB0
core_text,func_00120B28,0x00120B28,0x94
core_text,func_00120BC0,0x00120BC0,0x94
core_text,func_00120C58,0x00120C58,0x44
core_text,func_00120CA0,0x00120CA0,0x78
core_text,func_00120D18,0x00120D18,0xC
core_text,func_00120D28,0x00120D28,0x170
core_text,func_00120E98,0x00120E98,0x98
core_text,func_00120F30,0x00120F30,0xA0
core_text,func_00120FD0,0x00120FD0,0x6C
core_text,func_00121040,0x00121040,0x170
core_text,func_001211B0,0x001211B0,0x2E0
core_text,func_00121490,0x00121490,0x1F8
core_text,func_00121688,0x00121688,0xC4
core_text,func_0012174C,0x0012174C,0x4
core_text,func_00121750,0x00121750,0x1E0
core_text,func_00121930,0x00121930,0x98
core_text,func_001219C8,0x001219C8,0xB8
core_text,func_00121A80,0x00121A80,0xF8
